 ,Mean,Slice,µm
1,220.329,1,0
2,220.914,2,1
3,221.176,3,2
4,221.329,4,3
5,221.055,5,4
6,221.258,6,5
7,221.313,7,6
8,221.002,8,7
9,221.277,9,8
10,221.835,10,9
11,221.063,11,10
12,220.569,12,11
13,220.350,13,12
14,223.034,14,13
15,223.060,15,14
16,223.204,16,15
17,222.854,17,16
18,222.625,18,17
19,223.132,19,18
20,222.348,20,19
21,222.537,21,20
22,222.581,22,21
23,222.572,23,22
24,222.651,24,23
25,223.677,25,24
26,222.449,26,25
27,221.979,27,26
28,222.111,28,27
29,221.819,29,28
30,221.537,30,29
31,221.543,31,30
32,221.286,32,31
33,221.461,33,32
34,221.443,34,33
35,221.811,35,34
36,221.138,36,35
37,220.935,37,36
38,221.479,38,37
39,221.440,39,38
40,221.400,40,39
41,220.554,41,40
42,220.583,42,41
43,220.652,43,42
44,221.703,44,43
45,221.088,45,44
46,221.810,46,45
47,221.451,47,46
48,221.172,48,47
49,221.266,49,48
